title,link,source,time,type
"Trump meets defense executives, touts production boost as US strikes Iran",https://www.investing.com/news/stock-market-news/white-house-to-press-defense-firms-to-boost-production-as-us-strikes-on-iran-draw-down-stockpiles-4546357,Reuters,2026-03-06 22:12:47,Free
Trump says defense firms to quadruple production of advanced weapons,https://www.investing.com/news/economy-news/trump-says-defense-firms-to-quadruple-production-of-advanced-weapons-93CH-4547776,Investing.com,2026-03-06 20:54:31,Free
Trump: We just concluded a very good meeting with the largest U.S. Defense Manufacturing Companies,https://www.investing.com/news/pro/trump-we-just-concluded-a-very-good-meeting-with-the-largest-us-defense-manufacturing-companies-432SI-4547771,Investing.com,2026-03-06 20:49:02,Pro
Northrop Grumman to supply aircraft protection systems to Germany,https://www.investing.com/news/stock-market-news/northrop-grumman-to-supply-aircraft-protection-systems-to-germany-93CH-4544537,Investing.com,2026-03-05 14:54:48,Free
"Bernstein sees defense stocks rise on Iran strikes, cites restocking needs",https://www.investing.com/news/analyst-ratings/bernstein-sees-defense-stocks-rise-on-iran-strikes-cites-restocking-needs-93CH-4538037,Investing.com,2026-03-03 13:58:44,Free
Analysis-Investors look beyond Middle East curve ball and hope for fast resolution,https://www.investing.com/news/stock-market-news/analysisinvestors-brace-for-a-bigger-backlash-from-middle-east-war-4533525,Reuters,2026-03-02 23:24:25,Free
"Trading Day: Oil, yields, uncertainty surge",https://www.investing.com/news/economy-news/trading-day-oil-yields-uncertainty-surge-4536336,Reuters,2026-03-02 22:06:46,Free
Form 144 NORTHROP GRUMMAN CORP /DE/ For: 2 March,https://www.investing.com/news/filings/form-144-northrop-grumman-corp-de-for-2-march-93CH-4535713,Investing.com,2026-03-02 18:15:16,Free
From oil spikes to equity swings: How the Mideast conflict is driving markets,https://www.investing.com/news/stock-market-news/from-oil-spikes-to-equity-swings-how-the-mideast-conflict-is-driving-markets-4535501,Reuters,2026-03-02 16:19:24,Free
Northrop Grumman stock hits all-time high at 746.55 USD,https://www.investing.com/news/company-news/northrop-grumman-stock-hits-alltime-high-at-74655-usd-93CH-4535236,Investing.com,2026-03-02 14:42:56,Free
Defense stocks surge on Middle East conflict escalation,https://www.investing.com/news/stock-market-news/defense-stocks-surge-on-middle-east-conflict-escalation-93CH-4534500,Investing.com,2026-03-02 12:34:52,Free
Form 144 NORTHROP GRUMMAN CORP /DE/ For: 27 February,https://www.investing.com/news/filings/form-144-northrop-grumman-corp-de-for-27-february-93CH-4532161,Investing.com,2026-02-27 15:48:14,Free
Defense stocks fall as Iran nuclear talks show progress,https://www.investing.com/news/stock-market-news/defense-stocks-fall-as-iran-nuclear-talks-show-progress-93CH-4524856,Investing.com,2026-02-25 15:15:56,Free
Northrop Grumman receives Investment Bank Analyst Rating Update,https://www.investing.com/news/pro/alembic-global-advisors-maintains-northrop-grumman-at-overweight-with-a-price-target-of-84900-4521019,Investing.com,2026-02-24 11:59:00,Pro
Northrop Grumman B-21 bomber production speeds up,https://www.investing.com/news/stock-market-news/northrop-grumman-b21-bomber-production-speeds-up-93CH-4520236,Investing.com,2026-02-23 23:03:26,Free
Northrop Grumman Corp VP Simpson sells $141k in stock,https://www.investing.com/news/insider-trading-news/northrop-grumman-corp-vp-simpson-sells-141k-in-stock-93CH-4517413,Investing.com,2026-02-21 01:10:47,Free
Form 144 NORTHROP GRUMMAN CORP /DE/ For: 20 February,https://www.investing.com/news/filings/form-144-northrop-grumman-corp-de-for-20-february-93CH-4515403,Investing.com,2026-02-20 09:06:18,Free
Northrop Grumman Corp VP sells $547k in stock,https://www.investing.com/news/insider-trading-news/northrop-grumman-corp-vp-sells-547k-in-stock-93CH-4515275,Investing.com,2026-02-20 07:28:30,Free
Form 144 NORTHROP GRUMMAN CORP /DE/ For: 19 February,https://www.investing.com/news/filings/form-144-northrop-grumman-corp-de-for-19-february-93CH-4514190,Investing.com,2026-02-19 15:12:15,Free
Form 144 NORTHROP GRUMMAN CORP /DE/ For: 18 February,https://www.investing.com/news/filings/form-144-northrop-grumman-corp-de-for-18-february-93CH-4512206,Investing.com,2026-02-18 21:48:16,Free
Northrop Grumman stock hits all-time high at 715.7 USD,https://www.investing.com/news/company-news/northrop-grumman-stock-hits-alltime-high-at-7157-usd-93CH-4511848,Investing.com,2026-02-18 18:56:40,Free
Northrop Grumman at Citi’s Conference: Strategic Growth in Defense,https://www.investing.com/news/transcripts/northrop-grumman-at-citis-conference-strategic-growth-in-defense-93CH-4511635,Investing.com,2026-02-18 16:17:39,Free
Former Joint Chiefs vice chairman joins Northrop Grumman board,https://www.investing.com/news/company-news/former-joint-chiefs-vice-chairman-joins-northrop-grumman-board-93CH-4506716,Investing.com,2026-02-13 21:21:21,Free
Admiral Christopher Grady joins Northrop Grumman board,https://www.investing.com/news/assorted/admiral-christopher-grady-joins-northrop-grumman-board-432SI-4506647,Investing.com,2026-02-13 21:14:02,Free
"Northrop Grumman and Polish arms maker aim to produce more than 180,000 artillery shells a year in Poland",https://www.investing.com/news/stock-market-news/northrop-grumman-and-polish-arms-maker-aim-to-produce-more-than-180000-artillery-shells-a-year-in-poland-4501059,Reuters,2026-02-11 21:37:20,Free
Northrop Grumman declares $2.31 quarterly dividend,https://www.investing.com/news/company-news/northrop-grumman-declares-231-quarterly-dividend-93CH-4498297,Investing.com,2026-02-10 22:08:55,Free
Northrop Grumman Declares $2.31 Quarterly Dividend; 1.3% Yield,https://www.investing.com/news/assorted/northrop-grumman-declares-231-quarterly-dividend-13-yield-432SI-4498290,Investing.com,2026-02-10 22:10:03,Free
Poland’s Niewiadow signs framework deal with Northrop Grumman on 155 mm ammo production,https://www.investing.com/news/stock-market-news/polands-niewiadow-signs-framework-deal-with-northrop-grumman-on-155-mm-ammo-production-4497622,Reuters,2026-02-10 18:01:55,Free
Northrop Grumman secures $198 million contract for E-2D Hawkeye parts,https://www.investing.com/news/stock-market-news/northrop-grumman-secures-198-million-contract-for-e2d-hawkeye-parts-93CH-4492114,Investing.com,2026-02-06 22:20:29,Free
Pentagon poised to curb some defense contractors’ payouts under Trump order,https://www.investing.com/news/stock-market-news/pentagon-poised-to-curb-some-defense-contractors-payouts-under-trump-order-4491923,Reuters,2026-02-06 22:12:50,Free
Form 144 NORTHROP GRUMMAN CORP /DE/ For: 6 February,https://www.investing.com/news/filings/form-144-northrop-grumman-corp-de-for-6-february-93CH-4491926,Investing.com,2026-02-06 21:24:43,Free
Analysis-Investors in defense stocks wary as Trump places new limits on CEO pay and dividends,https://www.investing.com/news/stock-market-news/analysisinvestors-in-defense-stocks-wary-as-trump-places-new-limits-on-ceo-pay-and-dividends-4489936,Reuters,2026-02-06 14:55:46,Free
Army seeks penalties from Northrop Grumman for late Ukraine ammo - Bloomberg,https://www.investing.com/news/stock-market-news/army-seeks-penalties-from-northrop-grumman-for-late-ukraine-ammo--bloomberg-93CH-4488484,Investing.com,2026-02-05 16:56:03,Free
Bernstein raises Northrop Grumman stock price target to $765 on positive outlook,https://www.investing.com/news/analyst-ratings/bernstein-raises-northrop-grumman-stock-price-target-to-765-on-positive-outlook-93CH-4484842,Investing.com,2026-02-04 13:38:54,Free
Northrop Grumman receives Investment Bank Analyst Rating Update,https://www.investing.com/news/pro/bernstein-socgen-group-maintains-northrop-grumman-at-market-perform-with-a-price-target-of-76500-4484564,Investing.com,2026-02-04 13:01:02,Pro
"Northrop Grumman director Welsh sells $65,029 in stock",https://www.investing.com/news/insider-trading-news/northrop-grumman-director-welsh-sells-65029-in-stock-93CH-4482751,Investing.com,2026-02-03 18:55:44,Free
Northrop Grumman stock hits all-time high at 705.5 USD,https://www.investing.com/news/company-news/northrop-grumman-stock-hits-alltime-high-at-7055-usd-93CH-4482591,Investing.com,2026-02-03 17:36:25,Free
Earnings call transcript: Northrop Grumman Q4 2025 earnings beat expectations,https://www.investing.com/news/transcripts/earnings-call-transcript-northrop-grumman-q4-2025-earnings-beat-expectations-93CH-4480246,Investing.com,2026-02-02 22:05:02,Free
US defense firms boost spending after Trump calls for expedited arms deliveries,https://www.investing.com/news/stock-market-news/us-defense-firms-boost-spending-after-trump-calls-for-expedited-arms-deliveries-4479627,Reuters,2026-02-02 17:49:21,Free
Jarvis Scot B sells $591k in Kratos Defense (KTOS) stock,https://www.investing.com/news/insider-trading-news/jarvis-scot-b-sells-591k-in-kratos-defense-ktos-stock-93CH-4477555,Investing.com,2026-01-31 00:43:26,Free
Northrop Grumman awarded $50 million defense software contract,https://www.investing.com/news/stock-market-news/northrop-grumman-awarded-50-million-defense-software-contract-93CH-4477466,Investing.com,2026-01-30 22:27:46,Free
Northrop Grumman receives Investment Bank Analyst Rating Update,https://www.investing.com/news/pro/jpmorgan-maintains-northrop-grumman-at-neutral-with-a-price-target-of-74000-4473337,Investing.com,2026-01-29 13:59:01,Pro
Northrop Grumman receives Investment Bank Analyst Rating Update,https://www.investing.com/news/pro/deutsche-bank-maintains-northrop-grumman-at-buy-with-a-price-target-of-76500-4472736,Investing.com,2026-01-29 12:14:06,Pro
Truist Securities maintains Hold rating on Northrop Grumman stock at $623,https://www.investing.com/news/analyst-ratings/truist-securities-maintains-hold-rating-on-northrop-grumman-stock-at-623-93CH-4470760,Investing.com,2026-01-28 15:53:02,Free
Northrop Grumman receives Investment Bank Analyst Rating Update,https://www.investing.com/news/pro/truist-securities-maintains-northrop-grumman-at-hold-with-a-price-target-of-62300-4470652,Investing.com,2026-01-28 15:15:02,Pro
Northrop Grumman price target raised to $750 from $715 at RBC Capital,https://www.investing.com/news/analyst-ratings/northrop-grumman-price-target-raised-to-750-from-715-at-rbc-capital-93CH-4470650,Investing.com,2026-01-28 15:06:53,Free
Northrop Grumman receives Investment Bank Analyst Rating Update,https://www.investing.com/news/pro/rbc-capital-maintains-northrop-grumman-at-outperform-with-a-price-target-of-75000-4470418,Investing.com,2026-01-28 14:27:02,Pro
Northrop Grumman receives Investment Bank Analyst Rating Update,https://www.investing.com/news/pro/morgan-stanley-maintains-northrop-grumman-at-overweight-with-a-price-target-of-76500-4470107,Investing.com,2026-01-28 13:28:02,Pro
Northrop Grumman receives Investment Bank Analyst Rating Update,https://www.investing.com/news/pro/ubs-maintains-northrop-grumman-at-buy-with-a-price-target-of-77800-4470056,Investing.com,2026-01-28 13:19:02,Pro
Northrop Grumman receives Investment Bank Analyst Rating Update,https://www.investing.com/news/pro/citi-maintains-northrop-grumman-at-buy-with-a-price-target-of-78100-4469372,Investing.com,2026-01-28 09:14:59,Pro
BofA Securities raises Northrop Grumman stock price target to $750 on defense strategy,https://www.investing.com/news/analyst-ratings/bofa-securities-raises-northrop-grumman-stock-price-target-to-750-on-defense-strategy-93CH-4469355,Investing.com,2026-01-28 09:08:55,Free
Northrop Grumman receives Investment Bank Analyst Rating Update,https://www.investing.com/news/pro/bofa-securities-maintains-northrop-grumman-at-buy-with-a-price-target-of-75000-4469299,Investing.com,2026-01-28 08:25:01,Pro
Northrop Grumman price target raised to $688 from $625 at Vertical Research,https://www.investing.com/news/analyst-ratings/northrop-grumman-price-target-raised-to-688-from-625-at-vertical-research-93CH-4468749,Investing.com,2026-01-27 21:42:53,Free
Northrop Grumman receives Investment Bank Analyst Rating Update,https://www.investing.com/news/pro/vertical-research-partners-maintains-northrop-grumman-at-hold-with-a-price-target-of-68800-4468481,Investing.com,2026-01-27 20:59:01,Pro
Northrop Grumman boosters to power first crewed mission beyond Moon,https://www.investing.com/news/stock-market-news/northrop-grumman-boosters-to-power-first-crewed-mission-beyond-moon-93CH-4468206,Investing.com,2026-01-27 17:22:24,Free
Northrop Grumman Q4 2025 slides: 10% sales growth and record backlog,https://www.investing.com/news/company-news/northrop-grumman-q4-2025-slides-10-sales-growth-and-record-backlog-93CH-4468109,Investing.com,2026-01-27 16:24:34,Free
