title,link,source,time,type
Palantir stock price target raised to $141 from $90 at Goldman Sachs,https://www.investing.com/news/analyst-ratings/palantir-stock-price-target-raised-to-141-from-90-at-goldman-sachs-93CH-4170873,Investing.com,2025-08-05 17:00:42,Free
Palantir stock price target raised to $165 from $110 at UBS on AI growth,https://www.investing.com/news/analyst-ratings/palantir-stock-price-target-raised-to-165-from-110-at-ubs-on-ai-growth-93CH-4170872,Investing.com,2025-08-05 17:00:40,Free
Palantir stock price target raised to $45 from $40 at RBC Capital,https://www.investing.com/news/analyst-ratings/palantir-stock-price-target-raised-to-45-from-40-at-rbc-capital-93CH-4170825,Investing.com,2025-08-05 16:46:49,Free
Palantir Technologies Inc receives Investment Bank Analyst Rating Update,https://www.investing.com/news/pro/rbc-capital-maintains-palantir-at-underperform-with-a-price-target-of-4500-4170299,Investing.com,2025-08-05 13:56:03,Pro
Palantir Technologies Inc receives Investment Bank Analyst Rating Update,https://www.investing.com/news/pro/ubs-maintains-palantir-at-neutral-with-a-price-target-of-16500-4170141,Investing.com,2025-08-05 12:27:03,Pro
Palantir Technologies Inc receives Investment Bank Analyst Rating Update,https://www.investing.com/news/pro/loop-capital-maintains-palantir-at-buy-with-a-price-target-of-18000-4170118,Investing.com,2025-08-05 12:21:02,Pro
Palantir Technologies Inc receives Investment Bank Analyst Rating Update,https://www.investing.com/news/pro/goldman-sachs-maintains-palantir-at-neutral-with-a-price-target-of-14100-4170105,Investing.com,2025-08-05 12:17:02,Pro
Palantir stock price target raised to $165 from $135 at Mizuho on strong growth,https://www.investing.com/news/analyst-ratings/palantir-stock-price-target-raised-to-165-from-135-at-mizuho-on-strong-growth-93CH-4170049,Investing.com,2025-08-05 11:57:48,Free
Palantir stock price target raised to $182 from $170 at Piper Sandler,https://www.investing.com/news/analyst-ratings/palantir-stock-price-target-raised-to-182-from-170-at-piper-sandler-93CH-4170000,Investing.com,2025-08-05 11:37:52,Free
"Palantir, Marriott, Pfizer and BP rise premarket; Caterpillar falls",https://www.investing.com/news/stock-market-news/palantir-marriott-pfizer-and-bp-rise-premarket-caterpillar-falls-4169878,Investing.com,2025-08-05 11:34:47,Free
Palantir Technologies Inc receives Investment Bank Analyst Rating Update,https://www.investing.com/news/pro/baird-maintains-palantir-at-neutral-with-a-price-target-of-17000-4169852,Investing.com,2025-08-05 11:18:03,Pro
BofA Securities raises Palantir stock price target to $180 on strong growth,https://www.investing.com/news/analyst-ratings/bofa-securities-raises-palantir-stock-price-target-to-180-on-strong-growth-93CH-4169896,Investing.com,2025-08-05 11:17:50,Free
Palantir Technologies Inc receives Investment Bank Analyst Rating Update,https://www.investing.com/news/pro/william-blair-maintains-palantir-at-market-perform-4169850,Investing.com,2025-08-05 11:16:03,Pro
